Place,Details,Class,WordCount,Similar_Words
Nelson Mandela Square,popular place south whole square full fashion casual coffee bar restaurant plus special store due central location sandton transportation convenient access financial district sandton convention centre luxury hotel unique shop sandton city design idea whole square bring style life,None Related,74,"access, shop, luxury, place, plus, popular, restaurant, sandton, south, life"
Grand Baie,grand bay bay town north mauritius sea calm sandy beach delicate local snorkeling resort snorkel dive go sea chase dolphin topographical feature dawan named curved fjord north island harbor town important scenic spot north mauritius surrounded land three side blue water particularly quiet white bay sandy beach attracted countless tourist mauritius relax play sea water choose sit shore fishing lie beach chair close eye addition diving resort whether snorkeling diving suitable kind course plan go sea order whale watching dolphin chasing project shore completely relax body mind addition lively harbour market large supermarket shopping center dawan readily available bar specialty shop fully satisfy tourist petty bourgeoisie complex,None Related,229,"addition, shop, scenic, satisfy, sandy, resort, relax, readily, quiet, project"
Bahia Palace,bahia palace elegant palace marrakech dignitary time end relatively complete monument area building covered carving mosaic tile whole exquisite elegant worth visiting,None Related,60,"area, bahia, whole, visiting, time, tile, relatively, palace, mosaic, monument"
Notre-Dame Auxiliatrice de Cap Malheureux,romantic place north mauritius deep quiet forest small redroofed church attracting world unique fresh charm redroofed church church scene redroofed church history stand quietly sea white wall redroofed building set green lawn blue sea behind making church popular mauritius popular postcard location standing beside church near sea blue sky white cloud blue sea silver sand green grass red tile well beautiful coastline attract visit photograph addition signature red roof fresh pleasant appearance redroofed church exquisite complex wooden structure inside church workmanship particularly exquisite air conditioning church two ceiling fan interior bench painted red consistent inside addition holy water basin made giant clam shell worth visiting,None Related,205,"addition, red, set, sea, scene, sand, roof, romantic, redroofed, quietly"
Cairo Citadel,citadel known cairo citadel mugaitam mountain eastern suburb cairo castle stand tall general saladin th defend invasion scale castle cover large area majestic city wall meter high castle divided inner city outer city ruler dynasty left relic ancient canal youssef well national military museum monument worth seeing castle highlight green grass front castle climb castle stroll courtyard exquisite door window finely carved bathroom enter temple visit resplendent inner hall feel solemnity kiosk outside temple great viewpoint overlooking cairo building castle dense signpost guide important facility within castle well cafe restaurant dedicated tourist afterwards visit military museum originally part royal palace later converted military museum display military item uniform medal take walk garden area garden castle museum scattered column grass remains mosque exhibit time take stroll end castle visit suleymani pasha mosque climb tower view ottoman building exquisite minaret carved pulpit painted scale fresco tomb exquisite worth savoring,None Related,304,"afterwards, palace, savoring, saladin, ruler, royal, restaurant, resplendent, remains, relic"
Fes Médina,medina fe old city fe establishment traced back end th century idris dynasty established capital ad city rapid development hadid dynasty medina fe grown size far fe medina still retains relatively complete city wall old city large largest medina morocco nearly alley old city narrow winding like labyrinth known city without car world donkey important mean transportation old city important tourist destination fe leather dyeing workshop blue gate boujlou university carouin distributed alley,None Related,152,"ad, relatively, large, largest, leather, like, mean, medina, morocco, narrow"
Miami Beach Boardwalk,miami seaside boulevard viewing road close sea beautiful place casablanca famous local attraction hassan ii mosque cafe around seaside boulevard wide driveway side driveway facing sea spacious wooden plank road handrail overlook blue atlantic ocean part stretch beach balustrade plank road row closely connected cafe bar swimming pool full leisurely holiday atmosphere corner seaside boulevard south almost end wellknown local coffee shop miami boulevard named miami cafe high embankment facing water side sitting open courtyard endless atlantic ocean front sunset extraordinarily beautiful side miami seaside boulevard close city anfa villa district among hidden tree equipped horse farm golf course house private security outsider allowed enter without invitation said international movie star celebrity europe united state residence,None Related,226,"allowed, said, road, residence, private, pool, plank, place, part, overlook"
Luxor Hot Air Balloon,set dawn enjoy sunrise view valley king hot air balloon entire ruin thebe foot feel strong atmosphere ancient egypt air time satisfy yearning sky history nothing compare even fantastic way start day sky valley king queen side road great temple queen hab small play time luxor hot air balloon must take sunrise ensure beauty sunrise west coast therefore according location hotel generally necessary leave around oclock head designated location west bank general hot air balloon tour time minute fluctuate according weather judgment captain flight certificate attached event depends weather balloon company canceling event wind erratic hot air balloon company recommends magichorizon company large scale medium price friendly professional staff good reputation among tourist address tel email bookingmagichorizoncom official website httpwwwvisitluxorinhotairballooncomhodhodsoliman company operating high reputation rich experience service warm thoughtful address omralistreet televisionstreet official website httpwwwhodhodsolimanballoonscom,None Related,269,"according, address, service, scale, satisfy, ruin, road, rich, reputation, recommends"
Hercules Caves,mountain near sea north side downtown tangier hole big dozen meter entrance hole head turning corner end hole facing sea happens little sea level vast sea hole seagull flying air time magnificent scenery sunrise sunset sea entrance cave small square surrounded six seven coffee shop souvenir shop park middle suitable leisurely sitting cup coffee blowing sea breeze,None Related,143,"air, six, north, park, scenery, sea, seagull, seven, shop, side"
Koutoubia,koutoubia mosque symbol marrakech center highest point old city marrakech mosque jakub el mansur architect rabat commemorate victory minaret mosque meter high magnificent appearance beautiful building north compared mosque uniqueness koutoubia mosque minaret nearly bag precious spice mixed mud glued stone made mosque emit rich aroma still fragrant day tangy known fragrant tower another unique feature koutoubia mosque muezzin climbed tower call pray must blind mosque open public small garden surrounding mosque style garden overflowing fragrant flower,None Related,184,"another, meter, mixed, mosque, mud, muezzin, must, nearly, north, old"
Maasai Mara National Reserve,masai mara national reserve famous wildlife reserve world animal paradise consists open plain woodland river forest nearly specie mammal specie bird live home wild mammal watch zebra giraffe antelope foraging grassland watch rare bird monkey acacia forest abundance elephant aesthetically exhausting mara river home bigbilled hippo fierce crocodile world masai mara beautiful round celestial journey especially spectacular million clumsy wildebeest zebra antelope search sustenance food migrate north tanzania serengeti national park across mara river towards masai mara around return south mention masai mara wellknown romantic sunset spot goldenred world mirrored sunset vigorous plant vast grassland quiet leisurely animal complement beautiful scenery seen make unforgettable lifetime,None Related,187,"abundance, rare, search, scenery, round, romantic, river, return, reserve, quiet"
Egypt Divers,stroll bottom red sea surrounded colorful coral silvery fish mysterious shipwreck red sea region unique ecological environment seawater resource worldrenowned diving paradise place diving diving agency choose dive shore choose go sea boat diving deep sea,None Related,72,"agency, boat, unique, surrounded, stroll, silvery, shore, shipwreck, seawater, sea"
Sidi Bou Said,kilometer north tunis blue white town beautiful town mediterranean atmosphere eye tunisian blue symbolizes peace house two color white wall blue door window andalusianstyle cottage blue window white house blue white small character town simple romantic make suitor paradise blue white town wind mountain simple layout cobblestonepaved street white house shining sun side alley sticking house house two three story high make feel fairy tale blue iron window blue wooden door inlaid white wall arabesque scroll displayed iron window lattice symmetrical dreamy blue copper nail door star moon well bow arrow flower pattern combined gorgeous exquisite walking romantic beautiful town might well find coffee shop listen footstep time le café de nattes famous coffee shop blue white town centuryold coffee shop painter mache painted viewofa mosque layout changed cafe middle town easy tourist find sit indoors store spread straw mat stair guest sit called straw mat cafe cafe offer strong italianstyle coffee complete portion half cup usually mint tea sweet greasy layer pine nut floating small town jasmine national flower tunisia men blue white town like hang bunch jasmine flower behind ear said jasmine bloom young old traditional costume often string flower string insert large straw tray walk around street sell tourist forming beautiful scenery interested may wish buy bunch jasmine flower hang chest behind ear surrounded refreshing fragrance come food fried doughnut blue white town worth try crispy doughnut wrapped white sugar fragrant sweet although blue white town big look blue tender mediterranean sea beautiful scenery enthusiastic resident romantic exquisite blue white cottage everywhere worth coming worth spending forgetting hustle bustle city enjoying quiet time,None Related,518,"alley, sea, portion, quiet, refreshing, resident, romantic, said, scenery, scroll"
Old Medina Market,ancient market center casablanca sell handicraft souvenir,None Related,15,"ancient, casablanca, center, handicraft, market, sell, souvenir"
Khan el-Khalili,khalili market wellknown openair market cairo even egypt business since feel enthusiastic merchant noisy bargaining sound arabianstyle market fragrance spice variety gadget make linger enter market entrance alazhar road lined historic building side even old city wall gate even do nt buy anything good place experience local atmosphere take picture famous fisherman cafe fishawicafe entrance market may well sit drink cup traditional tea,None Related,122,"alazhar, anything, lined, linger, local, make, market, may, merchant, noisy"
Aït Benhaddou,fortified village ait haddou small village atlas mountain southern morocco village th century ad village beautiful scenery renowned morocco ancient village red house earth wall almost connected reflects defensive character resident place hollywood director tend shoot hollywood blockbuster filmed treasure nile mummy filming location game throne attracted tourist,None Related,109,"ad, scenery, mountain, mummy, nile, place, red, reflects, renowned, resident"
Abu Simbel Temples,temple ramses ii show prolong life afterlife temple two towering gate column hall huge stone column two broad courtyard three sanctuary spectacular visit read history change architectural style construction technique various type temple egypt,None Related,67,"afterlife, architectural, various, type, two, towering, three, temple, technique, style"
Victoria Falls,border zambia zimbabwe three largest waterfall world victoria fall included world heritage list local call mosi otuna mean smoke thunder like thunderbolt addition town zimbabwe name waterfall due obstruction dangjiang river livingstone island waterfall divided five section forming devil fall main fall horseshoe fall rainbow fall east fall among devil waterfall west particularly majestic,None Related,100,"addition, smoke, mosi, name, obstruction, otuna, particularly, rainbow, river, section"
Kruger National Park,kruger national park south total area square kilometer border mozambique south kruger typical grassland landform countless wild animal live vast grassland,None Related,40,"animal, area, vast, typical, total, square, south, park, national, mozambique"
Duiker Island,south seal island small island hout bay houtbay famous large number seal seagull island cape fur seal native southern breed coast south namibia reach speed kilometer per hour seal island kilometer away hout bay pier go seal island seal need take cruise ship,None Related,82,"away, bay, speed, southern, south, small, ship, seal, seagull, reach"
Île aux Cerfs,kashima small island eastern coast mauritius beautiful beach mauritius said come kashima never mauritius beautiful sea sky scenery abundant water sport particularly attractive island environment ludao beautiful lagoon water wide calm sandy beach white delicate named deer wading across bay island beautiful scenery coconut tree plant called filaos famous shoal deer island big surrounded black reef covered lush plant famous shallow nonswimmers walk hundred meter low tide kashima neighboring eastern island without worrying flooded walking shoal sun shine water fine wave like layer shimmering silver water surface like crumpled green satin experience beauty blue sea blue sky beautiful instruction visiting island water sport apply local day trip ludao consult hotel usually starting calm bay take minute arrive kashima boat whatever want enjoy various marine sport windsurfing speed boat glass bottom water paragliding diving fishing surfing banana boat course main thing come swim enjoy sun sand project small deer island hole golf course two restaurant walking deer island play water loved one lie fine sandy beach enjoy healthy sunbathing hungry slow enjoy lazy mao guo lunch sea view restaurant wonderful,None Related,324,"abundant, said, small, slow, sky, silver, shoal, shine, shimmering, shallow"
Kasbah of the Udayas,udaya fort east old town rabat bregreg river enters sea close atlantic ocean ancient castle complex th century berber dynasty later used dynasty occupied existing open area udaya fort divided three part courtyard garden king ismail th century museum divided two exhibition room exhibition jewelry musical instrument past dynasty national costume past dynasty including berber saharan ancient copper earthenware utensil highaltitude platform relic ancient air market standing platform overlook estuary bregreg river ancient port rabat panoramic view city salé berber house street preserved udaya fort unique next fort group bungalow overseas originally military prison occupation changed restaurant open since,None Related,227,"air, overseas, prison, preserved, port, platform, past, part, panoramic, overlook"
Karnak,karnak temple east bank nile river kilometer south cairo largescale temple complex ancient egypt ancient temple thebe founded bc pharaoh participated construction rd bc temple long time history civilization finally completed temple divided three part brick wall middle part better preserved larger part dedicated sun god left dedicated god montu dedicated wife goddess mut form vulture yet excavated addition dozen temple various size complex two row statue head sphinx ram side shinto lead pylon karnak temple said history shinto guarded sheepheaded sphinx lead luxor temple kilometer away throughout temple fresco statue pillar use mud stone restore glue fragmented monument together karnak since completion due manmade natural destruction temple beyond recognition do n’t know archaeologist worked hard present current karnak temple world,None Related,283,"addition, preserved, sheepheaded, said, row, river, restore, recognition, rd, ram"
Luxor Temple,luxor temple mainly amenhotep iii bc bc ramses iii bc bc luxor temple city center used small temple used celebrate amenhotep iii thutmose iii ramses ii successively expanded repaired place used place welcome amenhotep iii thutmose iii ramses ii known southern palace god mon ra goddess mut god kongsu grand festival held every year opert festival end mayjune temple former sphinx road named sphinx could led way karnak temple interrupted temple huge statue ramses ii granite obelisk magnificent stone pillar,None Related,154,"amenhotep, bc, mon, mut, named, obelisk, opert, palace, pillar, place"
Valley of the Kings,valley king west bank nile kilometer shore reached steep mountain road northern end acropolis thebe total imperial tomb burying pharaoh th dynasty th dynasty,None Related,57,"acropolis, bank, valley, total, tomb, thebe, th, steep, shore, road"
Casela Nature Parks,west coast island mauritius park excellent soil close nature large number bird well rare giant tortoise animal park backdrop africanstyle vegetation scenery described miniature kenya walking lion mustsee experience mauritius walking lion casela natural park accompanied professional experience thrill walking side side king jungle even play stream grassland together stage liveaction version tarzan afterwards awarded bravery certificate souvenir fourwheel drive choose rent fourwheel drive maneuverable twowheel segaway travel freely lush tropical forest waiting unexpected encounter zebra tortoise ostrich exciting experience ropeway gliding project valley park experience wonderful journey like bird soaring sky gliding distance hundred meter addition park free parking lot restaurant grocery store d cinema souvenir shop service facility tourist leisure entertainment need park large rich content want play take least half day,None Related,241,"accompanied, project, side, shop, service, segaway, scenery, ropeway, rich, restaurant"
Yves Saint Laurent Mansion,private artist later bought fashion master yves saint laurent lived open become popular attraction marrakech garden full rare plant surrounded blue villa well tombstone yves saint laurent small cafe artist acquired piece land outskirt marrakech new district city devoted almost entire life experience designing building garden collecting various plant world build cactus garden vine promenade lotus pond bamboo forest trail said kind cactus alone garden filled painter favorite blue villa vas wall pool etc bright pure blue blue later called majorelle blue painter died car accident garden slowly abandoned yves saint laurent legendary gay partner pierre berge discovered majorelle garden marrakech immediately bought garden lived majorelle garden costume master passed away pierre berge scatter ash garden fulfill master wish villa turned museum room behind villa yves saint laurents manuscript displayed,None Related,257,"abandoned, open, pool, pond, plant, pierre, piece, passed, partner, painter"
River Nile,nile river mother river egypt cairo section tourist usually choose swim nile river enjoy city night view cairo watch wonderful belly dance sufi dance performance choice cruise ship dock side nile river downtown cairo variety cruise ship different grade price range pound two hundred pound famous one pharaoh cruise luxury dinner cruise maximdinnercruise sailing cruise feluccacruise etc lively cruise parade usually belly dance sufi dance performance board cruise lively book tour hotel get lower group rate pharaoh cruise ship retro pharaohstyle hull characteristic four cruise day lunch cruise dinner cruise dinner cruise reservation required accept credit card payment reference price pound per person tel address official website httpwwwthepharaohscomeg,None Related,204,"accept, reservation, reference, rate, range, price, pound, pharaohstyle, pharaoh, person"
Jemaa el-Fnaa,old town marrakech square civic square market fall becomes lively various restaurant stall fill entire square snake charmer various traditional performance attract tourist two threestory building around square restaurant coffee bar far square koutoubia mosque seen looking,None Related,74,"around, marrakech, two, traditional, town, tourist, threestory, stall, square, snake"
Chefchaouen,old city chefchaouen hill settlement beautiful smurf city suitable taking picture dense trail old city covered shop blue house endless photo taken flavor restaurant city diverse,None Related,68,"beautiful, blue, taking, taken, suitable, smurf, shop, settlement, restaurant, picture"
Giza Necropolis,pyramid giza giza plain general term group pyramid rather separate pyramid bc synonymous ancient civilization seven wonder world three larger betterpreserved pyramid giza pyramid pyramid khufu pyramid kafra pyramid menkaure three pyramid arranged according constellation orion first thing entering scenic spot bestpreserved pyramid far entrance tomb pyramid khufu meter ground photography allowed inside interior interior corridor illuminated inside visit pharaoh chamber secret small granite room structure pyramid kafra pyramid khufu visit pharaoh tomb inside tomb still empty except square empty sarcophagus placed wall curious stand stepping stone look inside sarcophagus empty visiting pyramid khafre smaller three pyramid pyramid menkala admire appearance take picture visit entrance pyramid menkaure much smaller laddershaped passage entered stone step,None Related,269,"according, spot, small, seven, separate, secret, scenic, sarcophagus, room, rather"
Great Sphinx of Giza,come pyramid egypt think sphinx pyramid scenic area near pyramid khufu pyramid sphinx pyramid history belong ancient civilization representative monument synonymous egypt name suggests sphinx statue humanfaced lion front paw lying forward desert entire statue meter high meter long except front paw original head sphinx wearing crown relief holy snake body long beard collar around neck wind rain sand burial crown collar disappeared sphinx next khafre pyramid distance entering giza pyramid scenic spot bypass pyramid khufu go corridor side sphinx corridor next sphinx climb corridor take picture visiting sphinx walk khafre pyramid behind nearby khufu pyramid,None Related,220,"ancient, lion, lying, meter, monument, name, near, nearby, neck, next"
Boulders Penguin Colony,town simon east coast cape town south small bay called boulder mustsee attraction south famous penguin home penguin sanctuary two pair penguin later protection local resident number increased attracts everyones attention south speciesspotted penguin smaller among penguin specie black ring small black spot chest pink eye circle cute,None Related,103,"among, sanctuary, number, pair, penguin, pink, protection, resident, ring, simon"
Medina of Marrakech,old town marrakech known medina central area marrakech old mosque huge traditional market countless restaurant cafe spend whole day shopping local find rooftop cafe tourist enjoy sunset pot mint tea,None Related,64,"area, mosque, traditional, town, tourist, tea, sunset, spend, shopping, rooftop"
Sahara,sahara desert morocco often used entrance sahara whether experience trip ordinary tourist journey sahara explorer start,None Related,36,"desert, entrance, experience, explorer, journey, morocco, often, ordinary, sahara, start"
Hassan II Mosque,large seaside mosque onethird sea intricate decoration towering meterhigh minaret,None Related,33,"decoration, intricate, large, meterhigh, minaret, mosque, onethird, sea, seaside, towering"
The Egyptian Museum,museum near tahrir square center cairo display relic ancient egypt ancient roman rule come witness golden mask pharaoh treasure town hall visit mummy pharaoh royal aristocrat learn production process entrance museum quaint brick red building two floor entering museum ask tour guide buy visiting guide helpful understand artifact design entrance museum incorporates characteristic ancient art outer profile gate circular arch niche side arch relief europeanize image pharaoh hold papyrus holding lotus flower symbolizing north south ancient egypt respectively floor museum displayed order ancient history egypt precious artifact period ancient king roman rule ad sitting statue different shape crosslegged secretary sitting statue addition exhibit ancient egypt greece rome mainly wood carving stone carving compared exhibition hall floor exhibition hall floor displayed form special exhibition room exhibit precious floor showroom witness pharaoh golden funeral mask golden coffin golden throne addition unearthed cultural relic tutankhamuns exhibition room worthy appreciation showroom showroom southwest corner floor attractive place museum mummy pharaoh concubine example colorful wooden coffin lid astem cm high eye eyebrow inlaid enamel giving sense grace luxury addition mummy known fayoum portrait seen type mummy draw human face wooden board wait dead placing portrait embalmed mummy face mummy stored museum old still well preserved clearly hair toenail war peace exhibition room among mummy wellpreserved remains remains ramses ii c bc th dynasty new kingdom ramses ii created precedent conclusion peace treaty foreign enemy hittite history egypt exhibition room ramses ii body placed called war peace exhibition room visiting exhibit came garden museum statue wellknown egyptologist well outdoor exhibit sphinx obelisk stone carving finish visiting walk museum statue right side gate founder museum,None Related,570,"ad, quaint, placing, portrait, precedent, precious, preserved, process, production, profile"
Table Mountain,table mountain symbol cape town meter high named top mountain flat table flattened knife right side table mountain lion head mountain signal mountain left side devil peak following large amount water vapor rise top mountain encountering table mountain action cold air spectacular cloud formation formed whole tablecloth cover entire table mountain magnificent two way visit table mountain take revolving cable car hike mountain since hiking trail easy tourist get lost better way buy mountaineering guide famous one maclesrs beacon cicilia however tourist new table mountain recommended take cable car however recommended come good weather windy cable car stop running even reach top mountain foot shrouded fog able anything come cable car station middle mountain already whole city cape town cable car run direction carry cable car slowly travel top mountain glass window around cable car clearly everything foot cable car travel halfway wall table mountain steep knife axe rock climber climbing cliff table mountain whole process take minute reaching top mountain cable car building land rock foot distance road top mountain flat weather clear blue sky sky trail sign top mountain well sign protect animal walk slowly along rocky road edge cliff thick railing handrail prevent tourist accidentally slipping foot valley kind tree form undulating wave eye green addition rock wall mountain peak like knife axe covered blackbrown basalt rock everywhere looking distance sea thousand wave silverwhite edge flash certain light slightly dimmed sunlight thin cloud light smoke floated sea sun softened lot sea innocence truly connected line misty smoke sea sky can not distinguished topographic map table mountain top mountain take picture standing east side table mountain scenery part atlantic ocean lion rock signal mountain north table mountain endless mountain blue sky west table mountain part atlantic ocean well table bay well mountain connecting table mountain winding mountain road said matter side table mountain beautiful scenery detouring side table mountain viewing platform surrounded stone guardrail protruding rock looking far observation deck bustling city cape town blue swimming pool almost every household beautiful robin island addition beautiful scenery top mountain small animal small lizard rock rabbit squirrel etc afraid sometimes allowed take picture front weather relatively clear sunset sometimes dyed hidden cloud thin layer crimson beautiful,None Related,765,"able, process, protruding, rabbit, railing, reach, reaching, recommended, relatively, revolving"
The Great Pyramid of Giza,tomb pharaoh khufu ancient egypt largest taller pyramid world around bc pyramid symbol egypt oldest seven wonder ancient world appearance pyramid visit pyramid khufu must enter giza pyramid scenic spot entering first thing pyramid khufu relatively wellpreserved pyramid far although top weathered long time still huge building height story distance pyramid isosceles triangle side entire tower made million boulder foot pyramid climb level symbolically inside pyramid course addition seeing huge appearance pyramid outside visit inside although ventilation equipment installed inside pyramid still stuffy due narrow tomb passage inside pyramid recommended tourist poor health entrance tomb pyramid height meter ground entrance face big dipper photography allowed inside interior interior corridor illuminated stepping steep wooden stair entering imagine ancient carrying pharaoh sarcophagus going corridor placing sarcophagus secret chamber pyramid walking corridor step step pyramid footstep become heavier feel stuffy come pharaoh secret room secret room small room made granite meter ground thought pyramid contained treasure mummy pharaoh archaeologist entered pyramid found empty coffin middle tomb pharaoh secret room open dark red granite empty sarcophagus placed middle secret room back pharaoh treasure looted empty coffin could moved walk touch empty coffin ancient writing pattern empty coffin secret room tourist may seen lying directly ground tourist sitting crosslegged closed eye seem want absorb aura still believe pyramid special power secret room walk slowly back along corridor eye brighten return exit moment may wonderful feeling returning world,None Related,507,"absorb, may, pyramid, recommended, red, relatively, return, returning, room, sarcophagus"
Hall of Mirrors,hall mirror hall palace versailles huge floortoceiling glass window facing garden side huge mirror composed mirror floor hall carved wood wall decorated lavender white marble veneer column green marble capital base parapet gilded brass motif decorative motif sun wing spread homage,None Related,90,"base, spread, marble, mirror, motif, palace, parapet, side, sun, brass"
Big Bus,explore city sight pace free hopon bus tour paris enjoy paris sightseeing tour discover eiffel tower historic site louvre impressive arc de triomphe unique city tour includes paris tourist attraction experience beautiful avenue stunning architecture picturesque view openair bus ride hop bus leisure customize city tour tour includes informative entertaining guided tour guide city,None Related,90,"arc, impressive, informative, leisure, louvre, openair, pace, paris, picturesque, ride"
Grand Palais,champselysees grand palais welcome international exposition paris place de la concorde east arc de triomphe west beautiful pont alexander iii seine south grand palace closed renovation reopened mainly shortterm major cultural event art exhibition fashion show twostory ring corridor around hall leading exhibition hall antique biennale held every evennumbered held reopened grand palais since since inception exhibition successfully held time six time held louvre west wing building palace discovery palace discovery established goal giving grasp method scientific research visitor conduct science experiment learn fundamental physic chemistry biology astronomy medicine information technology,None Related,181,"alexander, research, renovation, pont, place, physic, paris, palais, palace, method"
Lake Annecy,lake annecy hautesavoie france foot alp lake lacdubourget france due strict environmental management measure implemented s lake annecy known clear lake europe lake annecy become popular tourist destination famous water recreational activity lake annecy formed melting alpine glacier small river originating surrounding mountain stretch ten kilometer lake annecy provides sufficient water lake annecy walking cycling shore lake annecy swimming boating lake overlooking rolling alp distance undoubtedly life great joy enlightenment thinker rousseau spent good life annecy,None Related,139,"activity, shore, measure, melting, mountain, originating, overlooking, popular, provides, recreational"
Hôtel de Ville,hotel de ville finished construction began currently house city paris administration building style contemporary interpretation renaissance grand building sitting minute seine regal inside includes crystal chandelier extravagant painting exterior equally stunning particularly night building shine light,None Related,66,"administration, particularly, interpretation, light, minute, night, painting, paris, regal, began"
Van Gogh Cafe (Cafe La Nuit),created lot work closely related small town lived arles building become attraction commemorate painter cafe location van gogh famous painting cafe night filmed still retains exact appearance painting back although still cafe attraction consumption low want drink cup coffee still sufficient budget prepare,None Related,105,"although, gogh, location, lot, low, night, painter, painting, prepare, related"
Parc du Champ de Mars,champ de mar vast strip park th arrondissement paris france eiffel tower paris military academy venue event universal exposition olympics openair concert separated eiffel tower chau palace whole like background painting name park come roman forum mar socalled god war roman theology historical background th park site early potato cultivation paris middle th century military school training soldier established vast land become training ground military school military training ground revolution massacre bloodshed experience romance paris local tourist picnic stroll sit lie lawn various pose rest bask sun child play football couple sit grass talk love said place experience romance paris good place emotion various concert held regularly park great place take photo eiffel tower standing front champ de mar tower look great angle green grass surrounding manicured tree addition champ de mar shining eiffel tower photography enthusiast come shoot view eiffel tower,None Related,295,"academy, name, shining, separated, school, said, romance, roman, revolution, rest"
